Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
GA_Multiple_Runs_128times_4,243,11,4.53,5,5,1,11.64,67.27,439.48,2.02
GA_Multiple_Runs_128times_4,243,9,3.70,4,3,2,29.15,108.11,416.41,2.02
GA_Multiple_Runs_128times_4,243,11,4.53,5,5,1,15.90,70.13,401.67,2.02
GA_Multiple_Runs_128times_4,243,9,3.70,4,2,3,22.35,68.32,391.79,2.02
GA_Multiple_Runs_128times_4,243,30,12.35,13,11,6,25.83,135.81,380.61,2.02
GA_Multiple_Runs_128times_4,243,23,9.47,8,9,6,32.93,88.11,351.34,2.02
GA_Multiple_Runs_128times_4,243,32,13.17,17,8,7,25.22,108.16,350.40,2.02
GA_Multiple_Runs_128times_4,243,35,14.40,13,8,14,54.48,126.65,339.47,2.02
GA_Multiple_Runs_128times_4,243,38,15.64,22,11,5,22.30,116.69,333.76,2.02
GA_Multiple_Runs_128times_4,243,41,16.87,16,13,12,32.74,100.13,321.12,2.02
GA_Multiple_Runs_128times_4,243,54,22.22,26,13,15,28.66,83.30,318.28,2.02
GA_Multiple_Runs_128times_4,243,69,28.40,35,17,17,41.78,157.71,310.21,2.02
GA_Multiple_Runs_128times_4,243,69,28.40,34,18,17,35.69,131.11,296.07,2.02
GA_Multiple_Runs_128times_4,243,63,25.93,34,19,10,33.34,144.70,286.97,2.02
GA_Multiple_Runs_128times_4,243,88,36.21,32,26,30,68.89,269.15,270.72,2.02
GA_Multiple_Runs_128times_4,243,93,38.27,34,33,26,51.12,159.98,256.23,2.02
GA_Multiple_Runs_128times_4,243,121,49.79,38,35,48,78.04,245.54,245.06,2.02
GA_Multiple_Runs_128times_4,243,175,72.02,35,87,53,64.48,207.22,231.61,2.02
GA_Multiple_Runs_128times_5,253,24,9.49,12,12,0,21.66,42.22,700.00,2.06
GA_Multiple_Runs_128times_5,253,24,9.49,15,7,2,18.01,69.95,693.31,2.06
GA_Multiple_Runs_128times_5,253,17,6.72,6,11,0,27.46,65.42,681.07,2.06
GA_Multiple_Runs_128times_5,253,12,4.74,5,6,1,37.24,108.49,668.47,2.06
GA_Multiple_Runs_128times_5,253,29,11.46,16,10,3,25.51,70.31,652.92,2.06
GA_Multiple_Runs_128times_5,253,22,8.70,13,9,0,15.61,63.93,643.80,2.06
GA_Multiple_Runs_128times_5,253,38,15.02,16,22,0,23.00,66.88,631.63,2.06
GA_Multiple_Runs_128times_5,253,20,7.91,8,12,0,35.69,88.03,614.71,2.06
GA_Multiple_Runs_128times_5,253,30,11.86,9,18,3,39.94,95.74,595.55,2.06
GA_Multiple_Runs_128times_5,253,27,10.67,8,14,5,45.31,110.81,579.56,2.06
GA_Multiple_Runs_128times_5,253,40,15.81,21,16,3,29.26,82.74,565.74,2.06
GA_Multiple_Runs_128times_5,253,43,17.00,18,22,3,36.37,85.93,559.04,2.06
GA_Multiple_Runs_128times_5,253,44,17.39,20,23,1,30.43,96.04,546.43,2.06
GA_Multiple_Runs_128times_5,253,42,16.60,17,22,3,32.90,94.64,537.71,2.06
GA_Multiple_Runs_128times_5,253,43,17.00,18,22,3,33.77,99.91,529.87,2.06
GA_Multiple_Runs_128times_5,253,49,19.37,17,25,7,39.37,101.11,518.80,2.06
GA_Multiple_Runs_128times_5,253,67,26.48,34,28,5,24.30,93.02,507.83,2.06
GA_Multiple_Runs_128times_5,253,54,21.34,20,31,3,34.07,100.88,492.33,2.06
GA_Multiple_Runs_128times_5,253,65,25.69,21,38,6,30.17,82.73,479.05,2.06
GA_Multiple_Runs_128times_5,253,89,35.18,36,49,4,27.21,63.50,466.27,2.06
GA_Multiple_Runs_128times_5,253,58,22.92,28,22,8,35.96,109.31,453.92,2.06
GA_Multiple_Runs_128times_5,253,67,26.48,35,29,3,23.78,101.67,449.86,2.06
GA_Multiple_Runs_128times_5,253,86,33.99,30,51,5,37.98,94.58,447.20,2.06
GA_Multiple_Runs_128times_5,253,96,37.94,48,46,2,24.47,91.25,441.23,2.06
GA_Multiple_Runs_128times_5,253,107,42.29,33,52,22,56.16,186.98,420.25,2.06
GA_Multiple_Runs_128times_5,253,129,50.99,59,64,6,28.41,95.13,402.39,2.06
GA_Multiple_Runs_128times_5,253,136,53.75,34,88,14,43.00,108.53,382.71,2.06
GA_Multiple_Runs_128times_5,253,128,50.59,35,65,28,55.13,161.85,362.22,2.06
GA_Multiple_Runs_128times_5,253,122,48.22,31,76,15,56.22,157.98,334.97,2.06
GA_Multiple_Runs_128times_5,253,128,50.59,48,38,42,77.69,236.79,315.36,2.06
GA_Multiple_Runs_128times_5,253,132,52.17,19,31,82,107.35,200.09,294.79,2.06
GA_Multiple_Runs_128times_5,253,140,55.34,21,24,95,131.64,263.43,272.82,2.06
GA_Multiple_Runs_128times_5,253,165,65.22,44,26,95,130.57,304.37,246.58,2.06
GA_Multiple_Runs_128times_6,254,12,4.72,4,6,2,32.29,60.31,700.00,2.23
GA_Multiple_Runs_128times_6,254,14,5.51,8,6,0,16.05,40.59,693.38,2.23
GA_Multiple_Runs_128times_6,254,6,2.36,4,2,0,27.66,75.47,681.64,2.23
GA_Multiple_Runs_128times_6,254,19,7.48,9,10,0,21.57,49.45,670.67,2.23
GA_Multiple_Runs_128times_6,254,22,8.66,12,10,0,16.29,36.88,650.55,2.23
GA_Multiple_Runs_128times_6,254,19,7.48,9,10,0,20.95,52.23,644.83,2.23
GA_Multiple_Runs_128times_6,254,24,9.45,16,8,0,13.72,46.92,634.97,2.23
GA_Multiple_Runs_128times_6,254,26,10.24,11,15,0,23.26,78.91,620.74,2.23
GA_Multiple_Runs_128times_6,254,28,11.02,20,8,0,14.37,52.41,607.91,2.23
GA_Multiple_Runs_128times_6,254,22,8.66,9,13,0,34.51,105.27,597.21,2.23
GA_Multiple_Runs_128times_6,254,31,12.20,17,14,0,19.75,53.96,580.98,2.23
GA_Multiple_Runs_128times_6,254,30,11.81,13,17,0,31.44,95.28,564.99,2.23
GA_Multiple_Runs_128times_6,254,29,11.42,20,8,1,19.12,66.88,547.72,2.23
GA_Multiple_Runs_128times_6,254,30,11.81,13,15,2,29.71,74.99,544.52,2.23
GA_Multiple_Runs_128times_6,254,34,13.39,12,22,0,26.04,53.30,527.41,2.23
GA_Multiple_Runs_128times_6,254,36,14.17,18,18,0,27.68,112.37,506.22,2.23
GA_Multiple_Runs_128times_6,254,54,21.26,25,22,7,32.74,97.65,498.54,2.23
GA_Multiple_Runs_128times_6,254,35,13.78,9,14,12,69.57,144.84,490.68,2.23
GA_Multiple_Runs_128times_6,254,62,24.41,31,29,2,24.49,66.75,481.32,2.23
GA_Multiple_Runs_128times_6,254,76,29.92,32,43,1,23.03,56.94,471.68,2.23
GA_Multiple_Runs_128times_6,254,101,39.76,32,45,24,53.45,150.84,469.71,2.23
GA_Multiple_Runs_128times_6,254,68,26.77,32,35,1,31.38,139.77,446.08,2.23
GA_Multiple_Runs_128times_6,254,88,34.65,33,36,19,65.24,282.99,427.88,2.23
GA_Multiple_Runs_128times_6,254,79,31.10,28,51,0,27.68,69.21,414.43,2.23
GA_Multiple_Runs_128times_6,254,89,35.04,45,44,0,27.77,73.29,403.79,2.23
GA_Multiple_Runs_128times_6,254,87,34.25,29,36,22,65.84,179.59,397.47,2.23
GA_Multiple_Runs_128times_6,254,109,42.91,33,37,39,69.46,176.73,372.76,2.23
GA_Multiple_Runs_128times_6,254,116,45.67,49,59,8,33.81,115.83,354.38,2.23
GA_Multiple_Runs_128times_6,254,134,52.76,33,74,27,62.15,132.00,333.82,2.23
GA_Multiple_Runs_128times_6,254,116,45.67,23,39,54,82.59,190.95,314.91,2.23
GA_Multiple_Runs_128times_6,254,144,56.69,17,50,77,106.30,225.68,293.46,2.23
GA_Multiple_Runs_128times_6,254,122,48.03,18,16,88,164.35,304.16,262.91,2.23
GA_Multiple_Runs_128times_6,254,151,59.45,16,39,96,138.62,291.08,243.68,2.23
GA_Multiple_Runs_128times_6,254,145,57.09,26,16,103,156.71,354.51,219.69,2.23
GA_Multiple_Runs_128times_6,254,138,54.33,8,19,111,218.58,389.06,213.11,2.23
GA_Multiple_Runs_128times_6,254,152,59.84,12,15,125,233.83,467.62,203.90,2.23
GA_Multiple_Runs_128times_7,221,1,0.45,1,0,0,0.13,0.13,700.00,1.90
GA_Multiple_Runs_128times_7,221,2,0.90,2,0,0,1.14,2.17,687.13,1.90
GA_Multiple_Runs_128times_7,221,2,0.90,2,0,0,0.74,0.79,668.45,1.90
GA_Multiple_Runs_128times_7,221,0,0.00,0,0,0,0.00,0.00,651.84,1.90
GA_Multiple_Runs_128times_7,221,0,0.00,0,0,0,0.00,0.00,639.24,1.90
GA_Multiple_Runs_128times_7,221,1,0.45,1,0,0,0.29,0.29,620.35,1.90
GA_Multiple_Runs_128times_7,221,2,0.90,2,0,0,0.48,0.63,601.55,1.90
GA_Multiple_Runs_128times_7,221,3,1.36,3,0,0,0.21,0.50,592.27,1.90
GA_Multiple_Runs_128times_7,221,1,0.45,1,0,0,0.26,0.26,576.61,1.90
GA_Multiple_Runs_128times_7,221,1,0.45,1,0,0,0.21,0.21,548.97,1.90
GA_Multiple_Runs_128times_7,221,6,2.71,5,1,0,5.89,25.83,528.40,1.90
GA_Multiple_Runs_128times_7,221,1,0.45,1,0,0,15.55,15.55,519.99,1.90
GA_Multiple_Runs_128times_7,221,3,1.36,2,0,1,54.31,162.20,505.58,1.90
GA_Multiple_Runs_128times_7,221,1,0.45,1,0,0,0.43,0.43,473.82,1.90
GA_Multiple_Runs_128times_7,221,2,0.90,2,0,0,0.60,1.09,447.92,1.90
