Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
ACO_Multiple_Runs_128times_18,238,3,1.26,3,0,0,1.43,2.48,539.72,164.80
ACO_Multiple_Runs_128times_18,238,1,0.42,1,0,0,0.04,0.04,520.88,164.80
ACO_Multiple_Runs_128times_18,238,1,0.42,1,0,0,1.15,1.15,498.18,164.80
ACO_Multiple_Runs_128times_18,238,0,0.00,0,0,0,0.00,0.00,472.96,164.80
ACO_Multiple_Runs_128times_18,238,1,0.42,0,1,0,47.37,47.37,451.35,164.80
ACO_Multiple_Runs_128times_18,238,11,4.62,11,0,0,1.25,3.62,434.35,164.80
ACO_Multiple_Runs_128times_18,238,3,1.26,3,0,0,0.30,0.46,412.33,164.80
ACO_Multiple_Runs_128times_18,238,5,2.10,5,0,0,0.64,1.48,401.81,164.80
ACO_Multiple_Runs_128times_18,238,0,0.00,0,0,0,0.00,0.00,382.87,164.80
ACO_Multiple_Runs_128times_18,238,4,1.68,4,0,0,0.48,0.74,362.38,164.80
ACO_Multiple_Runs_128times_18,238,32,13.45,19,13,0,17.76,82.55,348.99,164.80
ACO_Multiple_Runs_128times_18,238,9,3.78,8,0,1,14.52,123.69,330.42,164.80
ACO_Multiple_Runs_128times_18,238,6,2.52,6,0,0,7.29,14.97,313.11,164.80
ACO_Multiple_Runs_128times_18,238,3,1.26,2,1,0,20.31,59.96,300.43,164.80
ACO_Multiple_Runs_128times_18,238,17,7.14,15,2,0,7.57,51.16,281.05,164.80
ACO_Multiple_Runs_128times_18,238,80,33.61,41,31,8,45.78,199.08,280.13,164.80
ACO_Multiple_Runs_128times_18,238,4,1.68,4,0,0,0.47,1.03,272.55,164.80
ACO_Multiple_Runs_128times_18,238,8,3.36,8,0,0,2.78,19.41,254.86,164.80
ACO_Multiple_Runs_128times_18,238,4,1.68,4,0,0,0.46,0.99,243.86,164.80
ACO_Multiple_Runs_128times_18,238,14,5.88,14,0,0,4.49,11.72,238.66,164.80
ACO_Multiple_Runs_128times_18,238,29,12.18,25,3,1,17.65,321.36,233.32,164.80
ACO_Multiple_Runs_128times_18,238,12,5.04,11,0,1,76.99,916.02,223.94,164.80
ACO_Multiple_Runs_128times_18,238,46,19.33,41,1,4,23.35,628.51,217.67,164.80
ACO_Multiple_Runs_128times_18,238,84,35.29,33,17,34,133.63,463.78,212.83,164.80
ACO_Multiple_Runs_128times_18,238,63,26.47,47,1,15,51.40,489.53,199.02,164.80
