Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
GA_Multiple_Runs_128times_14,236,38,16.10,15,19,4,56.73,165.60,326.02,2.17
GA_Multiple_Runs_128times_14,236,42,17.80,16,11,15,66.72,213.34,305.10,2.17
GA_Multiple_Runs_128times_14,236,48,20.34,8,17,23,190.39,404.46,280.18,2.17
GA_Multiple_Runs_128times_14,236,57,24.15,26,18,13,61.55,298.32,267.67,2.17
GA_Multiple_Runs_128times_14,236,56,23.73,17,9,30,111.89,276.21,265.44,2.17
GA_Multiple_Runs_128times_14,236,68,28.81,20,5,43,192.74,375.95,256.75,2.17
GA_Multiple_Runs_128times_14,236,79,33.47,18,28,33,83.71,281.11,246.40,2.17
GA_Multiple_Runs_128times_14,236,70,29.66,25,8,37,104.07,421.99,233.25,2.17
GA_Multiple_Runs_128times_14,236,82,34.75,16,10,56,145.77,384.91,219.59,2.17
GA_Multiple_Runs_128times_14,236,88,37.29,29,8,51,134.90,380.21,207.37,2.17
GA_Multiple_Runs_128times_14,236,82,34.75,32,13,37,182.32,543.51,200.42,2.17
GA_Multiple_Runs_128times_15,250,24,9.60,13,11,0,17.24,51.96,700.00,2.17
GA_Multiple_Runs_128times_15,250,7,2.80,2,5,0,27.00,49.23,693.38,2.17
GA_Multiple_Runs_128times_15,250,10,4.00,6,4,0,24.35,82.95,682.92,2.17
GA_Multiple_Runs_128times_15,250,9,3.60,3,6,0,32.62,71.71,669.89,2.17
GA_Multiple_Runs_128times_15,250,4,1.60,2,1,1,50.98,169.40,660.97,2.17
GA_Multiple_Runs_128times_15,250,24,9.60,15,9,0,16.33,54.66,642.05,2.17
GA_Multiple_Runs_128times_15,250,18,7.20,8,10,0,32.78,108.47,627.58,2.17
GA_Multiple_Runs_128times_15,250,20,8.00,9,8,3,48.97,116.90,599.69,2.17
GA_Multiple_Runs_128times_15,250,26,10.40,13,13,0,27.22,72.31,590.95,2.17
GA_Multiple_Runs_128times_15,250,25,10.00,12,11,2,42.02,108.81,577.76,2.17
GA_Multiple_Runs_128times_15,250,31,12.40,19,12,0,24.45,77.33,564.13,2.17
GA_Multiple_Runs_128times_15,250,19,7.60,7,8,4,56.15,145.66,545.17,2.17
GA_Multiple_Runs_128times_15,250,38,15.20,16,22,0,26.00,69.65,536.34,2.17
GA_Multiple_Runs_128times_15,250,21,8.40,13,6,2,32.85,137.40,508.02,2.17
GA_Multiple_Runs_128times_15,250,35,14.00,10,25,0,40.54,78.28,503.07,2.17
GA_Multiple_Runs_128times_15,250,13,5.20,5,6,2,56.48,150.92,481.31,2.17
GA_Multiple_Runs_128times_15,250,21,8.40,7,4,10,80.76,175.18,463.86,2.17
GA_Multiple_Runs_128times_15,250,70,28.00,36,33,1,30.30,99.24,452.66,2.17
GA_Multiple_Runs_128times_15,250,35,14.00,10,25,0,40.55,94.99,442.72,2.17
GA_Multiple_Runs_128times_15,250,87,34.80,22,65,0,32.26,68.89,440.72,2.17
GA_Multiple_Runs_128times_15,250,59,23.60,18,41,0,38.58,96.98,424.30,2.17
GA_Multiple_Runs_128times_15,250,81,32.40,26,55,0,33.98,92.32,419.28,2.17
GA_Multiple_Runs_128times_15,250,92,36.80,38,52,2,34.06,104.19,412.77,2.17
GA_Multiple_Runs_128times_15,250,73,29.20,26,47,0,40.14,104.87,388.03,2.17
GA_Multiple_Runs_128times_15,250,77,30.80,27,50,0,42.80,96.61,376.54,2.17
GA_Multiple_Runs_128times_15,250,78,31.20,28,46,4,46.63,106.64,368.72,2.17
GA_Multiple_Runs_128times_15,250,120,48.00,38,74,8,41.93,133.80,367.20,2.17
GA_Multiple_Runs_128times_15,250,102,40.80,20,78,4,52.89,124.63,346.69,2.17
GA_Multiple_Runs_128times_15,250,107,42.80,31,56,20,56.65,143.17,328.29,2.17
GA_Multiple_Runs_128times_15,250,117,46.80,29,31,57,92.00,198.34,302.25,2.17
GA_Multiple_Runs_128times_15,250,147,58.80,14,71,62,104.06,208.04,280.08,2.17
GA_Multiple_Runs_128times_15,250,118,47.20,8,26,84,147.55,239.55,263.05,2.17
GA_Multiple_Runs_128times_15,250,136,54.40,20,33,83,134.16,261.54,236.58,2.17
GA_Multiple_Runs_128times_15,250,136,54.40,11,10,115,157.35,276.92,217.71,2.17
GA_Multiple_Runs_128times_15,250,131,52.40,14,21,96,179.51,303.55,211.03,2.17
GA_Multiple_Runs_128times_15,250,124,49.60,11,10,103,251.68,380.19,200.88,2.17
GA_Multiple_Runs_128times_16,249,6,2.41,1,5,0,20.12,51.31,700.00,1.76
GA_Multiple_Runs_128times_16,249,11,4.42,4,5,2,31.82,146.33,691.14,1.76
GA_Multiple_Runs_128times_16,249,4,1.61,2,2,0,22.30,82.73,676.53,1.76
GA_Multiple_Runs_128times_16,249,12,4.82,4,7,1,20.56,49.89,670.06,1.76
GA_Multiple_Runs_128times_16,249,16,6.43,11,4,1,13.21,53.36,658.25,1.76
GA_Multiple_Runs_128times_16,249,15,6.02,10,4,1,15.02,35.34,627.71,1.76
GA_Multiple_Runs_128times_16,249,21,8.43,12,9,0,13.16,46.42,617.71,1.76
GA_Multiple_Runs_128times_16,249,14,5.62,7,6,1,17.50,57.71,607.28,1.76
GA_Multiple_Runs_128times_16,249,17,6.83,9,6,2,10.92,56.89,602.12,1.76
GA_Multiple_Runs_128times_16,249,20,8.03,10,10,0,16.93,78.00,587.44,1.76
GA_Multiple_Runs_128times_16,249,26,10.44,13,12,1,15.14,49.83,565.35,1.76
GA_Multiple_Runs_128times_16,249,26,10.44,15,8,3,18.13,72.24,554.29,1.76
GA_Multiple_Runs_128times_16,249,18,7.23,9,6,3,16.46,69.76,534.86,1.76
GA_Multiple_Runs_128times_16,249,41,16.47,23,13,5,20.75,72.65,523.51,1.76
GA_Multiple_Runs_128times_16,249,30,12.05,18,10,2,24.16,88.34,506.08,1.76
GA_Multiple_Runs_128times_16,249,37,14.86,17,17,3,26.32,103.97,492.35,1.76
GA_Multiple_Runs_128times_16,249,42,16.87,18,18,6,23.42,69.24,468.79,1.76
GA_Multiple_Runs_128times_16,249,44,17.67,17,21,6,21.58,67.43,457.31,1.76
GA_Multiple_Runs_128times_16,249,44,17.67,22,18,4,22.01,67.06,450.89,1.76
GA_Multiple_Runs_128times_16,249,56,22.49,32,14,10,27.83,114.73,449.85,1.76
GA_Multiple_Runs_128times_16,249,64,25.70,25,24,15,28.71,74.32,441.34,1.76
GA_Multiple_Runs_128times_16,249,71,28.51,35,27,9,20.35,62.10,418.88,1.76
GA_Multiple_Runs_128times_16,249,84,33.73,38,33,13,24.01,78.15,389.00,1.76
GA_Multiple_Runs_128times_16,249,82,32.93,37,33,12,28.99,98.84,370.19,1.76
GA_Multiple_Runs_128times_16,249,98,39.36,33,41,24,35.52,109.68,357.48,1.76
GA_Multiple_Runs_128times_16,249,103,41.37,42,42,19,42.02,132.65,347.70,1.76
GA_Multiple_Runs_128times_16,249,85,34.14,33,33,19,40.84,125.18,335.74,1.76
GA_Multiple_Runs_128times_16,249,136,54.62,31,74,31,40.63,97.61,330.65,1.76
GA_Multiple_Runs_128times_16,249,159,63.86,39,64,56,57.59,203.02,311.16,1.76
GA_Multiple_Runs_128times_17,246,4,1.63,1,3,0,21.95,45.14,700.00,2.12
GA_Multiple_Runs_128times_17,246,9,3.66,7,2,0,12.25,46.05,685.06,2.12
GA_Multiple_Runs_128times_17,246,6,2.44,4,2,0,16.66,38.40,663.69,2.12
GA_Multiple_Runs_128times_17,246,6,2.44,5,1,0,10.90,45.12,650.70,2.12
GA_Multiple_Runs_128times_17,246,4,1.63,0,4,0,75.71,96.13,636.64,2.12
GA_Multiple_Runs_128times_17,246,2,0.81,1,1,0,45.27,90.31,622.91,2.12
GA_Multiple_Runs_128times_17,246,15,6.10,10,5,0,12.81,63.17,609.54,2.12
GA_Multiple_Runs_128times_17,246,9,3.66,6,3,0,14.72,37.61,579.49,2.12
GA_Multiple_Runs_128times_17,246,13,5.28,9,4,0,19.79,54.74,566.70,2.12
GA_Multiple_Runs_128times_17,246,8,3.25,4,4,0,20.22,49.16,542.93,2.12
GA_Multiple_Runs_128times_17,246,12,4.88,5,7,0,18.89,42.24,529.04,2.12
GA_Multiple_Runs_128times_17,246,13,5.28,8,5,0,25.43,61.12,511.64,2.12
GA_Multiple_Runs_128times_17,246,17,6.91,11,6,0,18.54,83.18,497.56,2.12
GA_Multiple_Runs_128times_17,246,26,10.57,14,12,0,30.62,93.87,477.54,2.12
GA_Multiple_Runs_128times_17,246,20,8.13,10,10,0,25.29,89.62,448.43,2.12
GA_Multiple_Runs_128times_17,246,40,16.26,20,20,0,21.96,56.60,443.54,2.12
GA_Multiple_Runs_128times_17,246,25,10.16,13,10,2,31.25,98.32,434.61,2.12
GA_Multiple_Runs_128times_17,246,25,10.16,11,13,1,47.85,110.25,416.99,2.12
GA_Multiple_Runs_128times_17,246,33,13.41,12,20,1,44.83,108.09,396.66,2.12
GA_Multiple_Runs_128times_17,246,45,18.29,20,24,1,33.42,107.73,390.10,2.12
GA_Multiple_Runs_128times_17,246,40,16.26,11,23,6,54.34,126.63,382.77,2.12
GA_Multiple_Runs_128times_17,246,47,19.11,17,30,0,40.20,97.52,373.43,2.12
GA_Multiple_Runs_128times_17,246,57,23.17,13,41,3,49.70,117.05,351.92,2.12
GA_Multiple_Runs_128times_17,246,74,30.08,28,40,6,46.80,138.15,348.78,2.12
GA_Multiple_Runs_128times_17,246,85,34.55,22,57,6,49.29,141.89,333.23,2.12
GA_Multiple_Runs_128times_17,246,74,30.08,15,46,13,76.50,146.32,303.70,2.12
GA_Multiple_Runs_128times_17,246,75,30.49,9,60,6,77.01,135.08,286.37,2.12
GA_Multiple_Runs_128times_17,246,84,34.15,11,66,7,80.45,134.48,275.18,2.12
GA_Multiple_Runs_128times_17,246,99,40.24,15,78,6,69.26,163.51,270.03,2.12
GA_Multiple_Runs_128times_17,246,88,35.77,20,36,32,92.21,181.51,258.44,2.12
GA_Multiple_Runs_128times_17,246,74,30.08,13,20,41,117.86,212.56,243.21,2.12
GA_Multiple_Runs_128times_17,246,90,36.59,16,21,53,142.00,273.31,242.34,2.12
GA_Multiple_Runs_128times_17,246,111,45.12,19,15,77,123.51,239.77,232.49,2.12
GA_Multiple_Runs_128times_17,246,131,53.25,26,23,82,121.24,216.96,218.92,2.12
GA_Multiple_Runs_128times_17,246,115,46.75,20,17,78,136.28,258.69,205.65,2.12
GA_Multiple_Runs_128times_17,246,122,49.59,27,15,80,149.43,289.68,201.35,2.12
GA_Multiple_Runs_128times_18,239,4,1.67,0,4,0,29.56,48.06,700.00,1.81
GA_Multiple_Runs_128times_18,239,12,5.02,5,5,2,26.00,60.47,693.09,1.81
GA_Multiple_Runs_128times_18,239,7,2.93,5,2,0,13.39,33.99,681.26,1.81
GA_Multiple_Runs_128times_18,239,9,3.77,6,3,0,16.03,51.63,673.41,1.81
GA_Multiple_Runs_128times_18,239,9,3.77,4,5,0,18.18,35.46,660.97,1.81
GA_Multiple_Runs_128times_18,239,12,5.02,7,5,0,14.36,44.15,653.51,1.81
GA_Multiple_Runs_128times_18,239,12,5.02,7,5,0,13.59,33.24,639.34,1.81
GA_Multiple_Runs_128times_18,239,11,4.60,7,3,1,17.80,59.84,627.64,1.81
GA_Multiple_Runs_128times_18,239,16,6.69,11,5,0,14.86,53.77,613.07,1.81
GA_Multiple_Runs_128times_18,239,20,8.37,14,5,1,15.32,60.35,601.59,1.81
GA_Multiple_Runs_128times_18,239,23,9.62,17,6,0,10.80,45.08,590.97,1.81
GA_Multiple_Runs_128times_18,239,18,7.53,11,6,1,19.93,61.65,576.25,1.81
GA_Multiple_Runs_128times_18,239,27,11.30,14,12,1,18.68,57.36,560.72,1.81
GA_Multiple_Runs_128times_18,239,31,12.97,27,4,0,12.55,52.84,554.62,1.81
GA_Multiple_Runs_128times_18,239,27,11.30,17,10,0,12.82,33.89,540.14,1.81
GA_Multiple_Runs_128times_18,239,37,15.48,20,14,3,19.25,74.70,520.30,1.81
GA_Multiple_Runs_128times_18,239,40,16.74,21,18,1,16.36,50.52,516.56,1.81
GA_Multiple_Runs_128times_18,239,49,20.50,28,18,3,22.43,68.41,488.36,1.81
GA_Multiple_Runs_128times_18,239,38,15.90,21,15,2,21.78,75.36,473.96,1.81
GA_Multiple_Runs_128times_18,239,46,19.25,21,24,1,23.51,63.01,452.32,1.81
GA_Multiple_Runs_128times_18,239,62,25.94,31,22,9,21.63,75.28,446.22,1.81
GA_Multiple_Runs_128times_18,239,74,30.96,46,25,3,18.09,66.62,443.03,1.81
GA_Multiple_Runs_128times_18,239,68,28.45,39,25,4,21.78,77.06,420.94,1.81
GA_Multiple_Runs_128times_18,239,81,33.89,35,41,5,24.65,72.88,406.26,1.81
GA_Multiple_Runs_128times_18,239,81,33.89,32,42,7,30.06,75.06,385.47,1.81
GA_Multiple_Runs_128times_18,239,87,36.40,58,24,5,19.63,77.20,376.90,1.81
GA_Multiple_Runs_128times_18,239,135,56.49,67,63,5,24.55,113.60,356.62,1.81
GA_Multiple_Runs_128times_18,239,111,46.44,42,62,7,35.49,104.96,328.51,1.81
GA_Multiple_Runs_128times_18,239,101,42.26,43,46,12,40.41,118.34,320.34,1.81
GA_Multiple_Runs_128times_18,239,120,50.21,38,68,14,45.31,145.36,299.06,1.81
GA_Multiple_Runs_128times_18,239,141,59.00,21,80,40,72.25,178.22,275.25,1.81
GA_Multiple_Runs_128times_18,239,148,61.92,44,70,34,59.58,153.62,272.31,1.81
GA_Multiple_Runs_128times_19,258,28,10.85,12,7,9,31.53,122.00,700.00,1.61
GA_Multiple_Runs_128times_19,258,25,9.69,4,10,11,35.85,69.73,689.85,1.61
GA_Multiple_Runs_128times_19,258,30,11.63,8,11,11,45.08,135.51,675.76,1.61
GA_Multiple_Runs_128times_19,258,38,14.73,19,11,8,27.11,100.41,667.70,1.61
GA_Multiple_Runs_128times_19,258,41,15.89,17,14,10,24.81,74.94,656.44,1.61
GA_Multiple_Runs_128times_19,258,47,18.22,21,12,14,25.75,79.53,642.86,1.61
